Ulasan,Rate,Label,case_folding,token,Normalisasi,Stopwords,Stemmer
"barang cukup ok, cs buruk bales chat gak nyambung pengiriman lama, pakai instant kaya pake sameday",3.0,netral,barang cukup ok  cs buruk bales chat gak nyambung pengiriman lama  pakai instant kaya pake sameday,"['barang', 'cukup', 'ok', 'cs', 'buruk', 'bales', 'chat', 'gak', 'nyambung', 'pengiriman', 'lama', 'pakai', 'instant', 'kaya', 'pake', 'sameday']","['barang', 'cukup', 'ok', 'cs', 'buruk', 'bales', 'chat', 'tidak', 'nyambung', 'pengiriman', 'lama', 'pakai', 'instan', 'kaya', 'pakai', 'sameday']","['barang', 'cs', 'buruk', 'bales', 'chat', 'nyambung', 'pengiriman', 'pakai', 'instan', 'kaya', 'pakai']","['barang', 'cs', 'buruk', 'bales', 'chat', 'nyambung', 'kirim', 'pakai', 'instan', 'kaya', 'pakai']"
"brg 3hr di kurir gk jalan2, harus gw komplain ke toped minta investigasi dulu bru kurirnya ngirim.",2.0,negatif,brg  hr di kurir gk jalan   harus gw komplain ke toped minta investigasi dulu bru kurirnya ngirim ,"['brg', 'hr', 'di', 'kurir', 'gk', 'jalan', 'harus', 'gw', 'komplain', 'ke', 'toped', 'minta', 'investigasi', 'dulu', 'bru', 'kurirnya', 'ngirim']","['barang', 'hari', 'di', 'kurir', 'tidak', 'jalan', 'harus', 'gw', 'komplain', 'ke', 'toped', 'minta', 'investigasi', 'dulu', 'baru', 'kurirnya', 'kirim']","['barang', 'kurir', 'jalan', 'komplain', 'toped', 'investigasi', 'kurirnya', 'kirim']","['barang', 'kurir', 'jalan', 'komplain', 'toped', 'investigasi', 'kurir', 'kirim']"
Kotak packing kurang baik ya. Ada penyok2 gitu. Terus bubble wrap nya gk menyeluruh. Kurang berhati-hati salam packing. Official Store harusnya lebih mengutamakan kemasan yang aman.,3.0,netral,kotak packing kurang baik ya  ada penyok  gitu  terus bubble wrap nya gk menyeluruh  kurang berhati hati salam packing  official store harusnya lebih mengutamakan kemasan yang aman ,"['kotak', 'packing', 'kurang', 'baik', 'ya', 'ada', 'penyok', 'gitu', 'terus', 'bubble', 'wrap', 'nya', 'gk', 'menyeluruh', 'kurang', 'berhati', 'hati', 'salam', 'packing', 'official', 'store', 'harusnya', 'lebih', 'mengutamakan', 'kemasan', 'yang', 'aman']","['kotak', 'packing', 'kurang', 'baik', 'ya', 'ada', 'penyok', 'begitu', 'terus', 'bubble', 'wrap', 'nya', 'tidak', 'menyeluruh', 'kurang', 'berhati', 'hati', 'salam', 'packing', 'official', 'store', 'harusnya', 'lebih', 'mengutamakan', 'kemasan', 'yang', 'aman']","['kotak', 'packing', 'penyok', 'bubble', 'wrap', 'berhati', 'hati', 'salam', 'packing', 'official', 'store', 'mengutamakan', 'kemasan', 'aman']","['kotak', 'packing', 'penyok', 'bubble', 'wrap', 'hati', 'hati', 'salam', 'packing', 'official', 'store', 'utama', 'kemas', 'aman']"
barang tidak sampai ke tempat tujuan padahal udah pake kurir rekomendasi dari pihak tokped nya pake sicepat alhasil di claim..kecewanya proses claim nya terlalu lama habis itu lama lagi pengembalian dana na nya padahal saya konsumen yang di rugikan..sudah mah barang tidak sampai saya harus setor pula ke gopaylater,1.0,negatif,barang tidak sampai ke tempat tujuan padahal udah pake kurir rekomendasi dari pihak tokped nya pake sicepat alhasil di claim  kecewanya proses claim nya terlalu lama habis itu lama lagi pengembalian dana na nya padahal saya konsumen yang di rugikan  sudah mah barang tidak sampai saya harus setor pula ke gopaylater,"['barang', 'tidak', 'sampai', 'ke', 'tempat', 'tujuan', 'padahal', 'udah', 'pake', 'kurir', 'rekomendasi', 'dari', 'pihak', 'tokped', 'nya', 'pake', 'sicepat', 'alhasil', 'di', 'claim', 'kecewanya', 'proses', 'claim', 'nya', 'terlalu', 'lama', 'habis', 'itu', 'lama', 'lagi', 'pengembalian', 'dana', 'na', 'nya', 'padahal', 'saya', 'konsumen', 'yang', 'di', 'rugikan', 'sudah', 'mah', 'barang', 'tidak', 'sampai', 'saya', 'harus', 'setor', 'pula', 'ke', 'gopaylater']","['barang', 'tidak', 'sampai', 'ke', 'tempat', 'tujuan', 'padahal', 'sudah', 'pakai', 'kurir', 'rekomendasi', 'dari', 'pihak', 'tokopedia', 'nya', 'pakai', 'sicepat', 'alhasil', 'di', 'klaim', 'kecewanya', 'proses', 'klaim', 'nya', 'terlalu', 'lama', 'habis', 'itu', 'lama', 'lagi', 'pengembalian', 'dana', 'na', 'nya', 'padahal', 'saya', 'konsumen', 'yang', 'di', 'rugikan', 'sudah', 'mah', 'barang', 'tidak', 'sampai', 'saya', 'harus', 'setor', 'pula', 'ke', 'gopaylater']","['barang', 'tujuan', 'pakai', 'kurir', 'rekomendasi', 'tokopedia', 'pakai', 'sicepat', 'alhasil', 'klaim', 'kecewanya', 'proses', 'klaim', 'habis', 'pengembalian', 'dana', 'konsumen', 'rugikan', 'barang', 'setor', 'gopaylater']","['barang', 'tuju', 'pakai', 'kurir', 'rekomendasi', 'tokopedia', 'pakai', 'sicepat', 'alhasil', 'klaim', 'kecewa', 'proses', 'klaim', 'habis', 'kembali', 'dana', 'konsumen', 'rugi', 'barang', 'setor', 'gopaylater']"
proses packing lama untuk jasa kirim itu urusan buyer bukan utusan seller. mentang mentang pake free ongkir pengemasanya di lama lamain. semoga pelayananya bisa lebih baik lagi dan tetap menghargai buyer terkait jasa kirim free ongkir atau bukan harusnya pelayanya tetap di samakan bulan di beda bedakan.,1.0,negatif,proses packing lama untuk jasa kirim itu urusan buyer bukan utusan seller  mentang mentang pake free ongkir pengemasanya di lama lamain  semoga pelayananya bisa lebih baik lagi dan tetap menghargai buyer terkait jasa kirim free ongkir atau bukan harusnya pelayanya tetap di samakan bulan di beda bedakan ,"['proses', 'packing', 'lama', 'untuk', 'jasa', 'kirim', 'itu', 'urusan', 'buyer', 'bukan', 'utusan', 'seller', 'mentang', 'mentang', 'pake', 'free', 'ongkir', 'pengemasanya', 'di', 'lama', 'lamain', 'semoga', 'pelayananya', 'bisa', 'lebih', 'baik', 'lagi', 'dan', 'tetap', 'menghargai', 'buyer', 'terkait', 'jasa', 'kirim', 'free', 'ongkir', 'atau', 'bukan', 'harusnya', 'pelayanya', 'tetap', 'di', 'samakan', 'bulan', 'di', 'beda', 'bedakan']","['proses', 'packing', 'lama', 'untuk', 'jasa', 'kirim', 'itu', 'urusan', 'buyer', 'bukan', 'utusan', 'seller', 'mentang', 'mentang', 'pakai', 'free', 'ongkir', 'pengemasanya', 'di', 'lama', 'lama', 'semoga', 'pelayananya', 'bisa', 'lebih', 'baik', 'lagi', 'dan', 'tetap', 'menghargai', 'buyer', 'terkait', 'jasa', 'kirim', 'free', 'ongkir', 'atau', 'bukan', 'harusnya', 'pelayannya', 'tetap', 'di', 'samakan', 'bulan', 'di', 'beda', 'bedakan']","['proses', 'packing', 'jasa', 'kirim', 'urusan', 'buyer', 'utusan', 'seller', 'mentang', 'mentang', 'pakai', 'free', 'ongkir', 'pengemasanya', 'semoga', 'pelayananya', 'menghargai', 'buyer', 'terkait', 'jasa', 'kirim', 'free', 'ongkir', 'pelayannya', 'samakan', 'beda', 'bedakan']","['proses', 'packing', 'jasa', 'kirim', 'urus', 'buyer', 'utus', 'seller', 'mentang', 'mentang', 'pakai', 'free', 'ongkir', 'masa', 'moga', 'pelayananya', 'harga', 'buyer', 'kait', 'jasa', 'kirim', 'free', 'ongkir', 'layan', 'sama', 'beda', 'beda']"
Otike Soundjoy nya mati,1.0,negatif,otike soundjoy nya mati,"['otike', 'soundjoy', 'nya', 'mati']","['otike', 'soundjoy', 'nya', 'mati']","['otike', 'soundjoy', 'mati']","['otike', 'soundjoy', 'mati']"
kurir sicepat lelet,3.0,netral,kurir sicepat lelet,"['kurir', 'sicepat', 'lelet']","['kurir', 'sicepat', 'lelet']","['kurir', 'sicepat', 'lelet']","['kurir', 'sicepat', 'lelet']"
"Awalnya bilang ada kendala di jasa pengiriman,,setelah ditelusuri ternyata jasa pengiriman sama sekali tidak ada masalah,bahkan status nya kurir sudah ke lokasi namun barang belum siap untuk di pick up,,pada intinya barang dr penjual belum ready untuk dikirim,baru dikirim hari Senin oleh penjual,padahal saya pesan dari hari Jum'at..mohon diperhatian pelayanan nya ya",1.0,negatif,awalnya bilang ada kendala di jasa pengiriman  setelah ditelusuri ternyata jasa pengiriman sama sekali tidak ada masalah bahkan status nya kurir sudah ke lokasi namun barang belum siap untuk di pick up  pada intinya barang dr penjual belum ready untuk dikirim baru dikirim hari senin oleh penjual padahal saya pesan dari hari jum at  mohon diperhatian pelayanan nya ya,"['awalnya', 'bilang', 'ada', 'kendala', 'di', 'jasa', 'pengiriman', 'setelah', 'ditelusuri', 'ternyata', 'jasa', 'pengiriman', 'sama', 'sekali', 'tidak', 'ada', 'masalah', 'bahkan', 'status', 'nya', 'kurir', 'sudah', 'ke', 'lokasi', 'namun', 'barang', 'belum', 'siap', 'untuk', 'di', 'pick', 'up', 'pada', 'intinya', 'barang', 'dr', 'penjual', 'belum', 'ready', 'untuk', 'dikirim', 'baru', 'dikirim', 'hari', 'senin', 'oleh', 'penjual', 'padahal', 'saya', 'pesan', 'dari', 'hari', 'jum', 'at', 'mohon', 'diperhatian', 'pelayanan', 'nya', 'ya']","['awalnya', 'bilang', 'ada', 'kendala', 'di', 'jasa', 'pengiriman', 'setelah', 'ditelusuri', 'ternyata', 'jasa', 'pengiriman', 'sama', 'sekali', 'tidak', 'ada', 'masalah', 'bahkan', 'status', 'nya', 'kurir', 'sudah', 'ke', 'lokasi', 'namun', 'barang', 'belum', 'siap', 'untuk', 'di', 'pick', 'up', 'pada', 'intinya', 'barang', 'dari   ', 'penjual', 'belum', 'ready', 'untuk', 'dikirim', 'baru', 'dikirim', 'hari', 'senin', 'oleh', 'penjual', 'padahal', 'saya', 'pesan', 'dari', 'hari', 'jum', 'at', 'mohon', 'diperhatian', 'pelayanan', 'nya', 'ya']","['bilang', 'kendala', 'jasa', 'pengiriman', 'ditelusuri', 'jasa', 'pengiriman', 'status', 'kurir', 'lokasi', 'barang', 'pick', 'up', 'intinya', 'barang', 'dari   ', 'penjual', 'ready', 'dikirim', 'dikirim', 'senin', 'penjual', 'pesan', 'mohon', 'diperhatian', 'pelayanan']","['bilang', 'kendala', 'jasa', 'kirim', 'telusur', 'jasa', 'kirim', 'status', 'kurir', 'lokasi', 'barang', 'pick', 'up', 'inti', 'barang', 'dari', 'jual', 'ready', 'kirim', 'kirim', 'senin', 'jual', 'pesan', 'mohon', 'perhati', 'layan']"
"Pesanan mendarat aman,telat sehari sich.pas unboxing seneng karena dapet Gift..eh pas paginya sewot..tuh Gift ngk ada yg ke charge..alias kaga bisa di pake ,boleh minta sarannya..baiknya di buang kemana ya? Thank you",3.0,netral,pesanan mendarat aman telat sehari sich pas unboxing seneng karena dapet gift  eh pas paginya sewot  tuh gift ngk ada yg ke charge  alias kaga bisa di pake  boleh minta sarannya  baiknya di buang kemana ya  thank you,"['pesanan', 'mendarat', 'aman', 'telat', 'sehari', 'sich', 'pas', 'unboxing', 'seneng', 'karena', 'dapet', 'gift', 'eh', 'pas', 'paginya', 'sewot', 'tuh', 'gift', 'ngk', 'ada', 'yg', 'ke', 'charge', 'alias', 'kaga', 'bisa', 'di', 'pake', 'boleh', 'minta', 'sarannya', 'baiknya', 'di', 'buang', 'kemana', 'ya', 'thank', 'you']","['pesanan', 'mendarat', 'aman', 'telat', 'sehari', 'sich', 'pas', 'unboxing', 'senang', 'karena', 'dapat', 'gift', 'eh', 'pas', 'paginya', 'sewot', 'tuh', 'gift', 'tidak', 'ada', 'yang', 'ke', 'charge', 'alias', 'tidak', 'bisa', 'di', 'pakai', 'boleh', 'minta', 'sarannya', 'baiknya', 'di', 'buang', 'kemana', 'ya', 'thank', 'you']","['pesanan', 'mendarat', 'aman', 'telat', 'sehari', 'pas', 'unboxing', 'senang', 'gift', 'pas', 'paginya', 'sewot', 'gift', 'charge', 'alias', 'pakai', 'sarannya', 'baiknya', 'buang', 'kemana', 'thank', 'you']","['pesan', 'darat', 'aman', 'telat', 'hari', 'pas', 'unboxing', 'senang', 'gift', 'pas', 'pagi', 'sewot', 'gift', 'charge', 'alias', 'pakai', 'saran', 'baik', 'buang', 'mana', 'thank', 'you']"
"maaf min saya ulasan jujur ya, mnrt saya packing barang kurang rapi, buble nya cuman sedikit, pdhal unit hp baru, akhirnya datang kardusnya penyok, minta ganti kardus tetapi tidak bisa, tapi tks",3.0,netral,maaf min saya ulasan jujur ya  mnrt saya packing barang kurang rapi  buble nya cuman sedikit  pdhal unit hp baru  akhirnya datang kardusnya penyok  minta ganti kardus tetapi tidak bisa  tapi tks,"['maaf', 'min', 'saya', 'ulasan', 'jujur', 'ya', 'mnrt', 'saya', 'packing', 'barang', 'kurang', 'rapi', 'buble', 'nya', 'cuman', 'sedikit', 'pdhal', 'unit', 'hp', 'baru', 'akhirnya', 'datang', 'kardusnya', 'penyok', 'minta', 'ganti', 'kardus', 'tetapi', 'tidak', 'bisa', 'tapi', 'tks']","['maaf', 'admin', 'saya', 'ulasan', 'jujur', 'ya', 'menurut', 'saya', 'packing', 'barang', 'kurang', 'rapi', 'buble', 'nya', 'cuman', 'sedikit', 'padahal', 'unit', 'hp', 'baru', 'akhirnya', 'datang', 'kardusnya', 'penyok', 'minta', 'ganti', 'kardus', 'tetapi', 'tidak', 'bisa', 'tetapi', 'terima kasih']","['maaf', 'admin', 'ulasan', 'jujur', 'packing', 'barang', 'rapi', 'buble', 'cuman', 'unit', 'hp', 'kardusnya', 'penyok', 'ganti', 'kardus', 'terima kasih']","['maaf', 'admin', 'ulas', 'jujur', 'packing', 'barang', 'rapi', 'buble', 'cuman', 'unit', 'hp', 'kardus', 'penyok', 'ganti', 'kardus', 'terima kasih']"
"Pengiriman lama, pesan 2 barang hanya 1 yang sampai, yang 1 nya lagi ngga tau nyasar ntah kemana, mana toko nya ngga mau tanggung jawab lagi, malah nyalahin tokopedia",1.0,negatif,pengiriman lama  pesan   barang hanya   yang sampai  yang   nya lagi ngga tau nyasar ntah kemana  mana toko nya ngga mau tanggung jawab lagi  malah nyalahin tokopedia,"['pengiriman', 'lama', 'pesan', 'barang', 'hanya', 'yang', 'sampai', 'yang', 'nya', 'lagi', 'ngga', 'tau', 'nyasar', 'ntah', 'kemana', 'mana', 'toko', 'nya', 'ngga', 'mau', 'tanggung', 'jawab', 'lagi', 'malah', 'nyalahin', 'tokopedia']","['pengiriman', 'lama', 'pesan', 'barang', 'hanya', 'yang', 'sampai', 'yang', 'nya', 'lagi', 'tidak', 'tahu', 'tersesat', 'entah', 'kemana', 'mana', 'toko', 'nya', 'tidak', 'mau', 'tanggung', 'jawab', 'lagi', 'malah', 'menyalahkan', 'tokopedia']","['pengiriman', 'pesan', 'barang', 'tersesat', 'kemana', 'toko', 'tanggung', 'menyalahkan', 'tokopedia']","['kirim', 'pesan', 'barang', 'sesat', 'mana', 'toko', 'tanggung', 'salah', 'tokopedia']"
Dapat tempered glassnya retak,1.0,negatif,dapat tempered glassnya retak,"['dapat', 'tempered', 'glassnya', 'retak']","['dapat', 'tempered', 'glassnya', 'retak']","['tempered', 'glassnya', 'retak']","['tempered', 'glassnya', 'retak']"
barng second di jual baru payah,1.0,negatif,barng second di jual baru payah,"['barng', 'second', 'di', 'jual', 'baru', 'payah']","['barang', 'second', 'di', 'jual', 'baru', 'payah']","['barang', 'second', 'jual', 'payah']","['barang', 'second', 'jual', 'payah']"
"Kiriman warna tidak sesuai dekripsi,,",1.0,negatif,kiriman warna tidak sesuai dekripsi  ,"['kiriman', 'warna', 'tidak', 'sesuai', 'dekripsi']","['kiriman', 'warna', 'tidak', 'sesuai', 'dekripsi']","['kiriman', 'warna', 'sesuai', 'dekripsi']","['kirim', 'warna', 'sesuai', 'dekripsi']"
barang rusak parah,1.0,negatif,barang rusak parah,"['barang', 'rusak', 'parah']","['barang', 'rusak', 'parah']","['barang', 'rusak', 'parah']","['barang', 'rusak', 'parah']"
Parah boss d charger nggak bisa masuk,1.0,negatif,parah boss d charger nggak bisa masuk,"['parah', 'boss', 'd', 'charger', 'nggak', 'bisa', 'masuk']","['parah', 'boss', 'di  ', 'charger', 'tidak', 'bisa', 'masuk']","['parah', 'di  ', 'charger', 'masuk']","['parah', 'di', 'charger', 'masuk']"
Rugi beli hp di toko ini hpnya rusak parah,1.0,negatif,rugi beli hp di toko ini hpnya rusak parah,"['rugi', 'beli', 'hp', 'di', 'toko', 'ini', 'hpnya', 'rusak', 'parah']","['rugi', 'beli', 'hp', 'di', 'toko', 'ini', 'hpnya', 'rusak', 'parah']","['rugi', 'beli', 'hp', 'toko', 'hpnya', 'rusak', 'parah']","['rugi', 'beli', 'hp', 'toko', 'hpnya', 'rusak', 'parah']"
Hp tidak mau mengisi kualitas hp rusak,1.0,negatif,hp tidak mau mengisi kualitas hp rusak,"['hp', 'tidak', 'mau', 'mengisi', 'kualitas', 'hp', 'rusak']","['hp', 'tidak', 'mau', 'mengisi', 'kualitas', 'hp', 'rusak']","['hp', 'mengisi', 'kualitas', 'hp', 'rusak']","['hp', 'isi', 'kualitas', 'hp', 'rusak']"
"lcd renggang,",1.0,negatif,lcd renggang ,"['lcd', 'renggang']","['lcd', 'renggang']","['lcd', 'renggang']","['lcd', 'renggang']"
"Kecewa bgt wkwk awalnya lihat ulasan orglain jadi tertarik beli hp dsni, pas paket dtng dibuka lngsg emosi krn kardus buluk bgt, penyok, beli hp disini kukira fulset eh trnyt cma dpt hp casan doang yg lain dari hp bwaanya gada smskli, btw karuds mah itung2 bonus aja ye, inimah sm aja beli hp batngan",2.0,negatif,kecewa bgt wkwk awalnya lihat ulasan orglain jadi tertarik beli hp dsni  pas paket dtng dibuka lngsg emosi krn kardus buluk bgt  penyok  beli hp disini kukira fulset eh trnyt cma dpt hp casan doang yg lain dari hp bwaanya gada smskli  btw karuds mah itung  bonus aja ye  inimah sm aja beli hp batngan,"['kecewa', 'bgt', 'wkwk', 'awalnya', 'lihat', 'ulasan', 'orglain', 'jadi', 'tertarik', 'beli', 'hp', 'dsni', 'pas', 'paket', 'dtng', 'dibuka', 'lngsg', 'emosi', 'krn', 'kardus', 'buluk', 'bgt', 'penyok', 'beli', 'hp', 'disini', 'kukira', 'fulset', 'eh', 'trnyt', 'cma', 'dpt', 'hp', 'casan', 'doang', 'yg', 'lain', 'dari', 'hp', 'bwaanya', 'gada', 'smskli', 'btw', 'karuds', 'mah', 'itung', 'bonus', 'aja', 'ye', 'inimah', 'sm', 'aja', 'beli', 'hp', 'batngan']","['kecewa', 'banget', 'wkwk', 'awalnya', 'lihat', 'ulasan', 'orang lain', 'jadi', 'tertarik', 'beli', 'hp', 'disini', 'pas', 'paket', 'datang', 'dibuka', 'langsung', 'emosi', 'karena', 'kardus', 'buluk', 'banget', 'penyok', 'beli', 'hp', 'disini', 'kukira', 'fulset', 'eh', 'ternyata', 'cuma', 'dapat', 'hp', 'casan', 'doang', 'yang', 'lain', 'dari', 'hp', 'bawaannya', 'tidak ada', 'sama sekali', 'btw', 'kardus', 'mah', 'hitung', 'bonus', 'saja', 'ye', 'ini', 'sama', 'saja', 'beli', 'hp', 'batangan']","['kecewa', 'banget', 'lihat', 'ulasan', 'orang lain', 'tertarik', 'beli', 'hp', 'pas', 'paket', 'dibuka', 'langsung', 'emosi', 'kardus', 'buluk', 'banget', 'penyok', 'beli', 'hp', 'kukira', 'fulset', 'hp', 'casan', 'doang', 'hp', 'bawaannya', 'tidak ada', 'sama sekali', 'kardus', 'hitung', 'bonus', 'beli', 'hp', 'batangan']","['kecewa', 'banget', 'lihat', 'ulas', 'orang lain', 'tarik', 'beli', 'hp', 'pas', 'paket', 'buka', 'langsung', 'emosi', 'kardus', 'buluk', 'banget', 'penyok', 'beli', 'hp', 'kira', 'fulset', 'hp', 'cas', 'doang', 'hp', 'bawa', 'tidak ada', 'sama sekali', 'kardus', 'hitung', 'bonus', 'beli', 'hp', 'batang']"
"Hp nya hanya bisa digunakan disaat kabel data terpasang, kalau kabel data/colokan dilepas hp mati hidup mati hidup mati",1.0,negatif,hp nya hanya bisa digunakan disaat kabel data terpasang  kalau kabel data colokan dilepas hp mati hidup mati hidup mati,"['hp', 'nya', 'hanya', 'bisa', 'digunakan', 'disaat', 'kabel', 'data', 'terpasang', 'kalau', 'kabel', 'data', 'colokan', 'dilepas', 'hp', 'mati', 'hidup', 'mati', 'hidup', 'mati']","['hp', 'nya', 'hanya', 'bisa', 'digunakan', 'disaat', 'kabel', 'data', 'terpasang', 'kalau', 'kabel', 'data', 'colokan', 'dilepas', 'hp', 'mati', 'hidup', 'mati', 'hidup', 'mati']","['hp', 'disaat', 'kabel', 'data', 'terpasang', 'kabel', 'data', 'colokan', 'dilepas', 'hp', 'mati', 'hidup', 'mati', 'hidup', 'mati']","['hp', 'saat', 'kabel', 'data', 'pasang', 'kabel', 'data', 'colok', 'lepas', 'hp', 'mati', 'hidup', 'mati', 'hidup', 'mati']"
Sumpah lama bgt smp nya...molor 2 hari padahal pake gosend. Terbuai harga murah n bonus2 😏,2.0,negatif,sumpah lama bgt smp nya   molor   hari padahal pake gosend  terbuai harga murah n bonus   ,"['sumpah', 'lama', 'bgt', 'smp', 'nya', 'molor', 'hari', 'padahal', 'pake', 'gosend', 'terbuai', 'harga', 'murah', 'n', 'bonus']","['sumpah', 'lama', 'banget', 'sampai', 'nya', 'molor', 'hari', 'padahal', 'pakai', 'gosend', 'terbuai', 'harga', 'murah', 'dan', 'bonus']","['sumpah', 'banget', 'molor', 'pakai', 'gosend', 'terbuai', 'harga', 'murah', 'bonus']","['sumpah', 'banget', 'molor', 'pakai', 'gosend', 'buai', 'harga', 'murah', 'bonus']"
"Respon penjual sangat sangat buruk !!! Saya ambil pengiriman instan kurir, dikirim malah next day. Di chat malah ngga direspon, lain kali tolong pelayanannya diperbaiki.",1.0,negatif,respon penjual sangat sangat buruk     saya ambil pengiriman instan kurir  dikirim malah next day  di chat malah ngga direspon  lain kali tolong pelayanannya diperbaiki ,"['respon', 'penjual', 'sangat', 'sangat', 'buruk', 'saya', 'ambil', 'pengiriman', 'instan', 'kurir', 'dikirim', 'malah', 'next', 'day', 'di', 'chat', 'malah', 'ngga', 'direspon', 'lain', 'kali', 'tolong', 'pelayanannya', 'diperbaiki']","['respon', 'penjual', 'sangat', 'sangat', 'buruk', 'saya', 'ambil', 'pengiriman', 'instan', 'kurir', 'dikirim', 'malah', 'next', 'hari', 'di', 'chat', 'malah', 'tidak', 'direspon', 'lain', 'kali', 'tolong', 'pelayanannya', 'diperbaiki']","['respon', 'penjual', 'buruk', 'ambil', 'pengiriman', 'instan', 'kurir', 'dikirim', 'next', 'chat', 'direspon', 'kali', 'tolong', 'pelayanannya', 'diperbaiki']","['respon', 'jual', 'buruk', 'ambil', 'kirim', 'instan', 'kurir', 'kirim', 'next', 'chat', 'direspon', 'kali', 'tolong', 'layan', 'baik']"
Ga profesional Dari awal sebelum pesen Iya2 aja pas udh order late respon n ngaret,1.0,negatif,ga profesional dari awal sebelum pesen iya  aja pas udh order late respon n ngaret,"['ga', 'profesional', 'dari', 'awal', 'sebelum', 'pesen', 'iya', 'aja', 'pas', 'udh', 'order', 'late', 'respon', 'n', 'ngaret']","['tidak', 'profesional', 'dari', 'awal', 'sebelum', 'pesan', 'iya', 'saja', 'pas', 'sudah', 'order', 'late', 'respon', 'dan', 'terlambat']","['profesional', 'pesan', 'pas', 'order', 'late', 'respon', 'terlambat']","['profesional', 'pesan', 'pas', 'order', 'late', 'respon', 'lambat']"
Body nya udh lecet ga mulus kaya baru,1.0,negatif,body nya udh lecet ga mulus kaya baru,"['body', 'nya', 'udh', 'lecet', 'ga', 'mulus', 'kaya', 'baru']","['body', 'nya', 'sudah', 'lecet', 'tidak', 'mulus', 'kaya', 'baru']","['body', 'lecet', 'mulus', 'kaya']","['body', 'lecet', 'mulus', 'kaya']"
"jangan beli disini, rugi judulnya barang resmi garansi oppo indonesia, harga 2.3 normal ukuran resmi.. yang datang barang distributor yang harganya dibawah 2 jt.. silahkan cek saja review di toko ini barang yang lain,pasti tau gimana toko ini beraksi ...kalau mau beli silahkan uji nyali selebihnya biar gambar yg bicara",1.0,negatif,jangan beli disini  rugi judulnya barang resmi garansi oppo indonesia  harga     normal ukuran resmi   yang datang barang distributor yang harganya dibawah   jt   silahkan cek saja review di toko ini barang yang lain pasti tau gimana toko ini beraksi    kalau mau beli silahkan uji nyali selebihnya biar gambar yg bicara,"['jangan', 'beli', 'disini', 'rugi', 'judulnya', 'barang', 'resmi', 'garansi', 'oppo', 'indonesia', 'harga', 'normal', 'ukuran', 'resmi', 'yang', 'datang', 'barang', 'distributor', 'yang', 'harganya', 'dibawah', 'jt', 'silahkan', 'cek', 'saja', 'review', 'di', 'toko', 'ini', 'barang', 'yang', 'lain', 'pasti', 'tau', 'gimana', 'toko', 'ini', 'beraksi', 'kalau', 'mau', 'beli', 'silahkan', 'uji', 'nyali', 'selebihnya', 'biar', 'gambar', 'yg', 'bicara']","['jangan', 'beli', 'disini', 'rugi', 'judulnya', 'barang', 'resmi', 'garansi', 'oppo', 'indonesia', 'harga', 'normal', 'ukuran', 'resmi', 'yang', 'datang', 'barang', 'distributor', 'yang', 'harganya', 'dibawah', 'juta', 'silakan', 'cek', 'saja', 'review', 'di', 'toko', 'ini', 'barang', 'yang', 'lain', 'pasti', 'tahu', 'bagaimana', 'toko', 'ini', 'beraksi', 'kalau', 'mau', 'beli', 'silakan', 'uji', 'nyali', 'selebihnya', 'biar', 'gambar', 'yang', 'bicara']","['beli', 'rugi', 'judulnya', 'barang', 'resmi', 'garansi', 'oppo', 'indonesia', 'harga', 'normal', 'ukuran', 'resmi', 'barang', 'distributor', 'harganya', 'dibawah', 'juta', 'silakan', 'cek', 'review', 'toko', 'barang', 'toko', 'beraksi', 'beli', 'silakan', 'uji', 'nyali', 'selebihnya', 'biar', 'gambar', 'bicara']","['beli', 'rugi', 'judul', 'barang', 'resmi', 'garansi', 'oppo', 'indonesia', 'harga', 'normal', 'ukur', 'resmi', 'barang', 'distributor', 'harga', 'bawah', 'juta', 'sila', 'cek', 'review', 'toko', 'barang', 'toko', 'aksi', 'beli', 'sila', 'uji', 'nyali', 'lebih', 'biar', 'gambar', 'bicara']"
oppo f9 kata tukang servisnya refurbish. habis ke tukang servis karna sering mati. yg f9 youth ngecas juga lama bet. minta tuker ga ditanggepin.,2.0,negatif,oppo f  kata tukang servisnya refurbish  habis ke tukang servis karna sering mati  yg f  youth ngecas juga lama bet  minta tuker ga ditanggepin ,"['oppo', 'f', 'kata', 'tukang', 'servisnya', 'refurbish', 'habis', 'ke', 'tukang', 'servis', 'karna', 'sering', 'mati', 'yg', 'f', 'youth', 'ngecas', 'juga', 'lama', 'bet', 'minta', 'tuker', 'ga', 'ditanggepin']","['oppo', 'f', 'kata', 'tukang', 'servisnya', 'refurbish', 'habis', 'ke', 'tukang', 'servis', 'karena', 'sering', 'mati', 'yang', 'f', 'youth', 'ngecas', 'juga', 'lama', 'banget', 'minta', 'tuker', 'tidak', 'ditanggapi']","['oppo', 'tukang', 'servisnya', 'refurbish', 'habis', 'tukang', 'servis', 'mati', 'youth', 'ngecas', 'banget', 'tuker', 'ditanggapi']","['oppo', 'tukang', 'servis', 'refurbish', 'habis', 'tukang', 'servis', 'mati', 'youth', 'ngecas', 'banget', 'tuker', 'tanggap']"
